TransactionID,TransactionDate,Amount,Currency,Description,Category,CustomerID,CustomerName,CustomerEmail,CustomerPhone,Merchant,MerchantLocation
eee16a50-5770-42c9-8214-ce403c720f63,2022-08-24,one hundred,GBP,Hope kid month scene marriage data room.,Travel,27c16669-c6ef-4c2a-a959-cd2afee57d73,Craig Gibson Jr.,oconnellerica@example.net,5584870630,Jones PLC,"951 Leah Crescent Apt. 159
New Christopherland, CT 94347"
9836a3cf-b3b4-41e2-b20b-c032e5d2886c,2024-01-19,1576.93,GBP,Note security question low method study.,Shopping,7070fa05-7af6-4921-89f1-711c3bed950f,Kimberly Rivera,sgriffin@example.com,6155205297,,"19238 Reynolds Road
Davidchester, VT 79795"
c3516528-06da-4bc8-b7f6-0549f6ce7a16,2022-08-18,438.54,DOL,Good yet prepare chance hard.,Education,aae57721-759f-4658-a968-4f9f909b9729,Brittney Montgomery,wendy20@example.org,907-784-4113x973,Wright-Lee,Nowhere
,2023-03-30,-4440.81,DOL,Civil million maintain.,Health,156f0509-a037-4df4-b4f3-c133d29cb3e2,Lisa Petersen,kaiserandrew@example.com,962-585-4394,Freeman-Newman,"098 Robin Walks Suite 216
Port Rebecca, AS 04074"
d46f813f-688d-4e80-82b3-8b01cce5424c,2023-06-18,1013.79,GBP,Television build which.,Health,64a58011-31c7-4348-a837-d1e0bd08d648,Kimberly Welch,garciadavid@example.org,(349)662-7226x90167,"Blankenship, Rubio and Wolfe","33029 Diaz Inlet Apt. 299
North Charlesmouth, HI 14047"
4e24eb3b-dc97-4e77-94dc-3e58f446bbe4,2024-06-05,-460.17,USD,Laugh pay election.,Health,d8ca68a0-fac4-4052-88b9-90390453c2c0,Pedro Wade,leah13@example.org,482-809-5992,Horton-Adams,"27703 Mark Street
Michelleville, MN 59471"
5269640f-32e6-41e4-b4e7-7992320e68bf,31-02-2020,-194.82,AUD,,Education,ffe04cb4-a189-4429-a159-36cead038778,Kaitlin Moss,invalid_email,5352877469,Carrillo Group,"84962 Jessica Unions Suite 993
South Derek, ND 51807"
b6ade08c-3e68-4f26-98b9-2f4433e150b8,2022-08-28,4481.29,USD,Color specific model sister need.,Shopping,a4ff82d8-5842-4c82-ab3a-1f46ca4cbe2d,William Rogers,johnsonmaxwell@example.org,266.537.5474,"Woods, Lutz and Smith","72939 Martinez Camp
South Heatherstad, NH 80849"
,2023-02-18,224.81,GBP,Certainly option else former past.,Unknown,d53d9623-a393-44f9-8ad7-2b47af71905e,John Mcdaniel,qcooper@example.com,+1-831-649-9500x091,,"Unit 6664 Box 0356
DPO AE 06972"
6f03d632-7e4c-4013-b7cf-8bbbce59959d,2023-06-08,4382.35,JPY,Level author never test.,Entertainment,9fcc9c59-1d0c-4ed4-8229-64a536187e9d,Alexandria Anderson,adriennebrown@example.net,12345,"Smith, Taylor and Perez",Nowhere
dd179334-f131-4a5b-ab5b-bcd7c18ad827,2024-04-09,-2045.03,USD,Change play various.,Health,df77f0f4-69b4-4052-8af9-70e16c6d5a2c,Jessica Walker,kimberly71@example.net,221-223-9326x2522,Mueller LLC,"30082 Mario Orchard
Roseberg, VT 91307"
4fa1e425-25d1-4b97-b071-0beb1d97f338,2023-10-10,2032.59,USD,Across move wall million son best.,Travel,301c5cc9-763b-41ee-99c5-24ca563048bb,Patricia Gibson,invalid_email,8616220716,Wilkins Ltd,"81552 Leon Burg Suite 754
Lake Christophershire, TN 35152"
